100|	|100|	|126749|	|2319|	|17|	|2011-09-15 00:00:00.000|	|6286|	|2011-09-15 13:07:40.810|	|5731|	|2011-09-15 19:57:05.387|	|0
~~101|	|100|	|126749|	|2078|	|18|	|2011-09-15 00:00:00.000|	|5965|	|2011-09-16 00:41:23.387|	|5965|	|2011-09-16 00:51:15.603|	|0
~~102|	|100|	|126749|	|2078|	|18|	|2011-09-16 00:00:00.000|	|5965|	|2011-09-16 21:02:08.743|	|5965|	|2011-09-16 21:04:24.380|	|0
~~103|	|100|	|126749|	|2319|	|17|	|2011-09-19 00:00:00.000|	|6185|	|2011-09-19 13:27:35.653|	|6185|	|2011-09-19 14:16:27.867|	|0
~~104|	|100|	|126749|	|2319|	|17|	|2011-09-27 00:00:00.000|	|6286|	|2011-09-27 10:26:04.347|	|6286|	|2011-09-27 16:04:32.763|	|0
~~105|	|100|	|126749|	|2319|	|17|	|2011-09-28 00:00:00.000|	|6286|	|2011-09-28 11:40:09.100|	|6286|	|2011-09-28 11:48:14.817|	|0
~~106|	|100|	|126749|	|2319|	|18|	|2011-09-29 00:00:00.000|	|6286|	|2011-09-30 02:27:11.373|	|6286|	|2011-09-30 02:36:28.943|	|0
~~107|	|100|	|126749|	|2319|	|18|	|2011-09-30 00:00:00.000|	|6286|	|2011-09-30 22:28:21.353|	|6286|	|2011-09-30 22:30:03.357|	|0
~~108|	|100|	|126749|	|2319|	|17|	|2011-10-01 00:00:00.000|	|6185|	|2011-10-01 13:07:01.237|	|6185|	|2011-10-01 16:10:18.783|	|0
~~109|	|100|	|126749|	|2319|	|18|	|2011-10-01 00:00:00.000|	|6286|	|2011-10-02 00:56:56.100|	|6286|	|2011-10-02 01:05:56.037|	|0
~~110|	|100|	|126749|	|2319|	|18|	|2011-10-02 00:00:00.000|	|6185|	|2011-10-02 22:24:44.333|	|6185|	|2011-10-03 04:31:11.930|	|0
~~111|	|100|	|126749|	|2319|	|18|	|2011-10-03 00:00:00.000|	|6185|	|2011-10-04 01:31:55.110|	|6185|	|2011-10-04 04:27:44.433|	|0
~~112|	|100|	|126749|	|2319|	|18|	|2011-10-04 00:00:00.000|	|6185|	|2011-10-05 01:27:08.293|	|6185|	|2011-10-05 01:28:36.807|	|0
~~113|	|100|	|126749|	|2319|	|17|	|2011-10-05 00:00:00.000|	|6286|	|2011-10-05 14:40:48.353|	|6286|	|2011-10-05 14:45:43.603|	|0
~~114|	|100|	|126749|	|2319|	|17|	|2011-10-06 00:00:00.000|	|6286|	|2011-10-06 12:39:51.500|	|6286|	|2011-10-06 12:45:15.117|	|0
~~115|	|100|	|126749|	|2319|	|17|	|2011-10-07 00:00:00.000|	|6286|	|2011-10-07 12:19:47.860|	|6286|	|2011-10-07 12:29:32.333|	|0
~~116|	|100|	|126749|	|2319|	|17|	|2011-10-08 00:00:00.000|	|6286|	|2011-10-08 14:32:33.750|	|6286|	|2011-10-08 14:38:04.657|	|0
~~117|	|100|	|126749|	|2319|	|17|	|2011-10-09 00:00:00.000|	|6286|	|2011-10-09 14:07:46.010|	|6286|	|2011-10-09 14:15:22.360|	|0
~~118|	|100|	|126749|	|2319|	|17|	|2011-10-10 00:00:00.000|	|6286|	|2011-10-10 10:53:10.713|	|6286|	|2011-10-10 15:42:55.313|	|0
~~119|	|100|	|126749|	|2319|	|17|	|2011-10-11 00:00:00.000|	|6185|	|2011-10-11 12:10:48.463|	|5963|	|2011-10-11 15:55:42.900|	|0
~~120|	|100|	|126749|	|2319|	|18|	|2011-10-11 00:00:00.000|	|6286|	|2011-10-12 01:44:42.260|	|6286|	|2011-10-12 04:14:12.453|	|0
