1631|	|236411
~~1159|	|236830
~~1324|	|236830
~~1351|	|236830
~~1352|	|236830
~~1380|	|236830
~~1418|	|236830
~~1406|	|237709
~~1392|	|237732
~~1529|	|237741
~~1159|	|237873
~~1322|	|238397
~~1340|	|238397
~~1360|	|238397
~~1368|	|238397
~~1549|	|238397
~~1226|	|238935
~~1206|	|238938
~~1289|	|238938
~~1329|	|238938
~~1205|	|242696
~~1746|	|245591
~~822|	|245771
~~1299|	|245771
~~1756|	|245771
~~1732|	|259478
~~1098|	|261675
~~1160|	|261848
~~1885|	|262257
~~1882|	|262387
~~1937|	|262401
~~1389|	|262409
~~1379|	|262410
~~817|	|262420
~~893|	|262420
~~1098|	|262426
~~802|	|262471
~~1728|	|262635
~~1781|	|262635
~~1786|	|262635
~~1861|	|262635
~~1866|	|262635
~~1923|	|262635
~~1459|	|263160
~~834|	|264161
~~1932|	|264636
~~1946|	|264636
~~1620|	|264684
~~1695|	|264728
~~1306|	|265038
~~1405|	|267093
~~1427|	|267093
~~950|	|267099
~~1218|	|267099
~~1227|	|267099
~~1582|	|267099
~~1304|	|267119
~~1574|	|267119
~~1196|	|267121
~~839|	|271956
~~1482|	|271965
~~1630|	|335188
~~
