1229206|	|399047
~~1229463|	|399171
~~1229826|	|399160
~~1230157|	|399372
~~1230471|	|399428
~~1231190|	|399676
~~1229223|	|399111
~~1229253|	|399046
~~1229840|	|399302
~~1230242|	|399432
~~1230257|	|399265
~~1230577|	|399294
~~1231233|	|399664
~~1229027|	|399048
~~1229078|	|399050
~~1229286|	|399051
~~1229307|	|399049
~~1229409|	|399170
~~1229419|	|399168
~~1229420|	|399169
~~1230237|	|399320
~~1230300|	|399427
~~1230636|	|399466
~~1230688|	|399473
~~1231018|	|399680
~~1229448|	|399052
~~1229814|	|399298
~~1229848|	|399293
~~1230291|	|399429
~~1230357|	|399291
~~1230436|	|399425
~~1230557|	|399297
~~1230719|	|399364
~~1231248|	|399673
~~
