2786937|	|1221333|	|Incinerator Stk SO2 67AI5B, <0.8 T/HR|	||	|0|	|1|	|.260000|	|14554|	|0
~~2786938|	|1221333|	|Incinerator Stk SO2 67AQI5B, <13.9 T/D|	||	|1|	|1|	|5.900000|	|14555|	|0
~~2786939|	|1221333|	|Incinerator Stk Temp 67TI503,  >1050øF|	||	|2|	|1|	|1015.000000|	|14556|	|0
~~2786940|	|1221333|	|Incinerator Stk O2 Trim, 67AC4, 1.5-2.0%|	||	|3|	|1|	|1.600000|	|14557|	|0
~~2786941|	|1221333|	|Sulphur Yield, 67NV100, Tonnes/Day|	||	|4|	|1|	|377.000000|	|14558|	|0
~~2786942|	|1221333|	|Sulphur Recovery Efficiency, 67AI5C, %|	||	|5|	|1|	|99.200000|	|14559|	|0
~~2786943|	|1221333|	|Lean Amine Strength, wt%|	||	|6|	|1|	|27.800000|	|14560|	|0
~~2786944|	|1221333|	|Lean Amine Loading, gr/igal|	||	|7|	|1|	|143.000000|	|14561|	|0
~~2786945|	|1221333|	|66Y15 Lean Amine Pre-Filter DP, <15 psi|	||	|8|	|1|	|1.000000|	|14562|	|0
~~2786946|	|1221333|	|SuperClaus online for entire shift, Y/N|	|YES|	|9|	|2|	||	|14563|	|0
~~2786947|	|1221333|	|Reflux Leaching Flow, USGPM|	||	|10|	|1|	|20.000000|	|14564|	|0
~~2786948|	|1221333|	|66D11 Condensate Make-Up, USGPM|	||	|11|	|1|	|22.000000|	|14565|	|0
~~2786973|	|1221358|	|Crude Charge Rate|	|37,300|	|0|	|0|	||	|467|	|0
~~2786974|	|1221358|	|Tank 58 Charge|	|0|	|1|	|0|	||	|468|	|0
~~2786975|	|1221358|	|PG/Rundown|	|64-22/146|	|2|	|0|	||	|469|	|0
~~2786976|	|1221358|	|TK-140 Charge Rate to #4HDS|	|0|	|3|	|0|	||	|470|	|0
~~2786977|	|1221358|	|TK-71 Charge|	|0|	|4|	|0|	||	|471|	|0
~~2786997|	|1221356|	|Lead Tech|	|Ron Epping|	|0|	|2|	||	|13476|	|0
~~2786998|	|1221356|	|Outside Tech P&S|	|John Clarke|	|1|	|2|	||	|13477|	|0
~~2786999|	|1221356|	|WWTP Technician|	|Cliff Cassidy|	|2|	|2|	||	|13478|	|0
~~2787000|	|1221356|	|Dock Tech|	|Chris Janssens|	|3|	|2|	||	|13479|	|0
~~2787015|	|1221372|	|Plt 2 Feedrate, MBPD|	||	|0|	|1|	|33.500000|	|14641|	|0
~~2787016|	|1221372|	|Plt 2 Rich Amine Loading, Mol/Mol|	||	|1|	|1|	|.390000|	|14642|	|0
~~2787017|	|1221372|	|Plt 2 Comp Ctrl, RMT/MAN|	|REMOTE|	|2|	|2|	||	|14644|	|0
~~2787018|	|1221372|	|H2 Purge 2FI33  on Target(0.7-1), MMSCFD|	||	|3|	|1|	|.800000|	|20606|	|0
~~2787019|	|1221372|	|Plt 4 Rich Amine Loading, Mol/Mol|	||	|5|	|1|	|.340000|	|14647|	|0
~~2787020|	|1221372|	|Plt 5 Feedrate, MBPD|	||	|6|	|1|	|9.100000|	|14649|	|0
~~2787021|	|1221372|	|Plt 5 Comp Ctrl, RMT/MAN|	|REMOTE|	|7|	|2|	||	|14650|	|0
~~2787022|	|1221364|	|Cogen Quality|	|83|	|0|	|0|	||	|416|	|0
~~2787023|	|1221364|	|Cogen High Pass|	|85|	|1|	|0|	||	|417|	|0
~~2787024|	|1221364|	|HP Charger Pumps Online 53|	|50 & 60|	|2|	|0|	||	|418|	|0
~~2787025|	|1221390|	|TK 104 Lvl, FT|	||	|0|	|1|	|11.200000|	|14806|	|0
~~2787026|	|1221390|	|TK 413 Lvl, FT|	||	|3|	|1|	|3.000000|	|14809|	|0
~~2787027|	|1221390|	|SIG Charge 63FC11, MBPD|	||	|4|	|1|	|31.700000|	|14810|	|0
~~2787028|	|1221390|	|G.O. Storage 21FC21, MBPD|	||	|5|	|1|	|5.600000|	|14811|	|0
~~2787029|	|1221390|	|63C1 WABT, ON/OFF|	|ON|	|6|	|2|	||	|14812|	|0
