1221320|	|DN1-3003-0007
~~1221321|	|DN1-3003-0000, DN1-3003-0001, DN1-3003-0002, DN1-3003-0003, DN1-3003-0004, DN1-3003-0007, DN1-3003-0009, DN1-3003-0051, DN1-3003-0053, DN1-3003-0054, DN1-3003-0057, DN1-3003-0072, DN1-3003-0205, DN1-3003-0208, DN1-3003-0241, DN1-3003-0252
~~1221322|	|ED1-A001
~~1221323|	|DN1-3003-0210, DN1-3003-0310, DN1-3003-0410
~~1221324|	|UP1-P005, UP1-P010
~~1221325|	|UP2-P034-WAST
~~1221326|	|UP2-P054, UP2-P055, UP2-P056-PPL2, UP2-P056-STEM, UP2-P064, UP2-P066
~~1221327|	|UP2-P056-WAT1
~~1221328|	|UP2-FACL, UP2-P056
~~1221329|	|DN1-3003-0015, DN1-3003-0074, DN1-3003-0075, DN1-3003-0077
~~1221330|	|DN1-3003-0004, DN1-3003-0007, DN1-3003-0054
~~1221331|	|MR1-P004-0400, MR1-P009-0900
~~1221332|	|FB1-P191-5000, FB1-P192-5000
~~1221333|	|ED1-A004-U065, ED1-A004-U066, ED1-A004-U067
~~1221334|	|UP3-P217, UP3-P220
~~1221335|	|DN1-3003-0005, DN1-3003-0016, DN1-3003-0017, DN1-3003-0035, DN1-3003-0038, DN1-3003-0039, DN1-3003-0040, DN1-3003-0041, DN1-3003-0083, DN1-3003-0092
~~1221336|	|ED1-A004-U019, ED1-A004-U025, ED1-A004-U031, ED1-A004-U032, ED1-A004-U033, ED1-A004-U034, ED1-A004-U068
~~1221337|	|UP2-P068
~~1221338|	|ED1-A002, ED1-A005-U020-SSR-PSV0011, ED1-A006-IFST-SAB-30B006, ED1-A006-IFST-SAB-30B014, ED1-A006-IFST-SAB-30B047, ED1-A006-IFST-SAB-30B199, ED1-A006-IFST-SAB-30B203, ED1-A006-IFST-SAB-30B205, ED1-A006-IFST-SAB-49B001, ED1-A006-IFST-SAB-49B003
~~1221339|	|UP2-P068
~~1221340|	|DN1-3003-0016, DN1-3003-0017, DN1-3003-0035, DN1-3003-0041
~~1221341|	|DN1-3003-0051
~~1221342|	|EX1-P004, EX1-P016
~~1221343|	|UP2-P052-COMS, UP2-P052-DCU2
~~1221344|	|DN1-3003-0051
~~1221346|	|DN1-3003-0005, DN1-3003-0016, DN1-3003-0017, DN1-3003-0035, DN1-3003-0041
~~1221347|	|ED1-A002, ED1-A005-U020-SSR-PSV0011, ED1-A006-IFST-SAB-30B006, ED1-A006-IFST-SAB-30B014, ED1-A006-IFST-SAB-30B047, ED1-A006-IFST-SAB-30B199, ED1-A006-IFST-SAB-30B203, ED1-A006-IFST-SAB-30B205, ED1-A006-IFST-SAB-49B001, ED1-A006-IFST-SAB-49B003
~~1221348|	|DN1-3003-0019, DN1-3003-0032
~~1221349|	|FB1-P116
