100|	|100|	|1|	|-1|	|2010-10-30 09:59:17.050
~~101|	|107|	|1|	|-1|	|2010-10-30 09:59:17.050
~~102|	|114|	|1|	|-1|	|2010-10-30 09:59:17.050
~~103|	|121|	|1|	|-1|	|2010-10-30 09:59:17.050
~~104|	|128|	|1|	|-1|	|2010-10-30 09:59:17.050
~~105|	|135|	|1|	|-1|	|2010-10-30 09:59:17.050
~~106|	|101|	|65070|	|-1|	|2010-10-30 09:59:17.050
~~107|	|108|	|65070|	|-1|	|2010-10-30 09:59:17.050
~~108|	|115|	|65070|	|-1|	|2010-10-30 09:59:17.050
~~109|	|122|	|65070|	|-1|	|2010-10-30 09:59:17.050
~~110|	|129|	|65070|	|-1|	|2010-10-30 09:59:17.050
~~111|	|136|	|65070|	|-1|	|2010-10-30 09:59:17.050
~~112|	|102|	|113567|	|-1|	|2010-10-30 09:59:17.050
~~113|	|109|	|113567|	|-1|	|2010-10-30 09:59:17.050
~~114|	|116|	|113567|	|-1|	|2010-10-30 09:59:17.050
~~115|	|123|	|113567|	|-1|	|2010-10-30 09:59:17.050
~~116|	|130|	|113567|	|-1|	|2010-10-30 09:59:17.050
~~117|	|137|	|113567|	|-1|	|2010-10-30 09:59:17.050
~~118|	|102|	|126589|	|-1|	|2010-10-30 09:59:17.050
~~119|	|109|	|126589|	|-1|	|2010-10-30 09:59:17.050
~~120|	|116|	|126589|	|-1|	|2010-10-30 09:59:17.050
~~121|	|123|	|126589|	|-1|	|2010-10-30 09:59:17.050
~~122|	|130|	|126589|	|-1|	|2010-10-30 09:59:17.050
~~123|	|137|	|126589|	|-1|	|2010-10-30 09:59:17.050
~~124|	|102|	|126749|	|-1|	|2010-10-30 09:59:17.050
~~125|	|109|	|126749|	|-1|	|2010-10-30 09:59:17.050
~~126|	|116|	|126749|	|-1|	|2010-10-30 09:59:17.050
~~127|	|123|	|126749|	|-1|	|2010-10-30 09:59:17.050
~~128|	|130|	|126749|	|-1|	|2010-10-30 09:59:17.050
~~129|	|137|	|126749|	|-1|	|2010-10-30 09:59:17.050
~~130|	|102|	|138020|	|-1|	|2010-10-30 09:59:17.050
~~131|	|109|	|138020|	|-1|	|2010-10-30 09:59:17.050
~~132|	|116|	|138020|	|-1|	|2010-10-30 09:59:17.050
~~133|	|123|	|138020|	|-1|	|2010-10-30 09:59:17.050
~~134|	|130|	|138020|	|-1|	|2010-10-30 09:59:17.050
~~135|	|137|	|138020|	|-1|	|2010-10-30 09:59:17.050
~~136|	|103|	|72963|	|-1|	|2010-10-30 09:59:17.050
~~137|	|110|	|72963|	|-1|	|2010-10-30 09:59:17.050
~~138|	|117|	|72963|	|-1|	|2010-10-30 09:59:17.050
~~139|	|124|	|72963|	|-1|	|2010-10-30 09:59:17.050
~~140|	|131|	|72963|	|-1|	|2010-10-30 09:59:17.050
~~141|	|138|	|72963|	|-1|	|2010-10-30 09:59:17.050
~~754|	|105|	|112876|	|-1|	|2010-10-30 09:59:17.050
~~755|	|112|	|112876|	|-1|	|2010-10-30 09:59:17.050
~~756|	|119|	|112876|	|-1|	|2010-10-30 09:59:17.050
~~757|	|126|	|112876|	|-1|	|2010-10-30 09:59:17.050
~~758|	|133|	|112876|	|-1|	|2010-10-30 09:59:17.050
~~759|	|140|	|112876|	|-1|	|2010-10-30 09:59:17.050
~~778|	|106|	|236409|	|-1|	|2011-08-05 12:10:14.237
~~779|	|113|	|236409|	|-1|	|2011-08-05 12:10:14.237
~~780|	|120|	|236409|	|-1|	|2011-08-05 12:10:14.237
~~781|	|127|	|236409|	|-1|	|2011-08-05 12:10:14.237
~~782|	|134|	|236409|	|-1|	|2011-08-05 12:10:14.237
~~783|	|141|	|236409|	|-1|	|2011-08-05 12:10:14.237
~~784|	|142|	|292541|	|-1|	|2012-02-14 21:21:21.913
~~785|	|143|	|292541|	|-1|	|2012-02-14 21:21:21.913
~~786|	|144|	|292541|	|-1|	|2012-02-14 21:21:21.913
~~787|	|145|	|292541|	|-1|	|2012-02-14 21:21:21.913
~~788|	|146|	|292541|	|-1|	|2012-02-14 21:21:21.913
~~789|	|147|	|292541|	|-1|	|2012-02-14 21:21:21.913
~~790|	|148|	|336853|	|-1|	|2012-05-23 08:53:00.000
~~791|	|149|	|336853|	|-1|	|2012-05-23 08:53:00.000
~~792|	|150|	|336853|	|-1|	|2012-05-23 08:53:00.000
~~793|	|151|	|336853|	|-1|	|2012-05-23 08:53:00.000
~~794|	|152|	|336853|	|-1|	|2012-05-23 08:53:00.000
~~795|	|153|	|336853|	|-1|	|2012-05-23 08:53:00.000
~~796|	|154|	|336853|	|-1|	|2012-07-06 13:50:00.000
~~797|	|155|	|336853|	|-1|	|2012-07-10 13:31:00.000
~~798|	|157|	|359594|	|-1|	|2012-05-23 08:53:00.000
~~799|	|158|	|359594|	|-1|	|2012-05-23 08:53:00.000
~~800|	|159|	|359594|	|-1|	|2012-05-23 08:53:00.000
~~801|	|160|	|359594|	|-1|	|2012-05-23 08:53:00.000
~~802|	|161|	|359594|	|-1|	|2012-05-23 08:53:00.000
~~803|	|162|	|359594|	|-1|	|2012-05-23 08:53:00.000
~~804|	|163|	|359594|	|-1|	|2012-07-06 13:50:00.000
~~805|	|164|	|359594|	|-1|	|2012-07-10 13:31:00.000
~~806|	|165|	|367720|	|-1|	|2013-07-15 08:53:00.000
~~807|	|166|	|367720|	|-1|	|2013-07-15 08:53:00.000
~~808|	|167|	|367720|	|-1|	|2013-07-15 08:53:00.000
~~809|	|168|	|367720|	|-1|	|2013-07-15 08:53:00.000
~~810|	|169|	|367720|	|-1|	|2013-07-15 08:53:00.000
~~811|	|170|	|367720|	|-1|	|2013-07-15 13:50:00.000
~~812|	|171|	|367720|	|-1|	|2013-07-15 13:31:00.000
~~813|	|172|	|367720|	|-1|	|2013-07-15 08:53:00.000
~~814|	|165|	|157873|	|-1|	|2013-11-12 21:48:15.947
~~815|	|166|	|157873|	|-1|	|2013-11-12 21:48:15.947
~~816|	|167|	|157873|	|-1|	|2013-11-12 21:48:15.947
~~817|	|168|	|157873|	|-1|	|2013-11-12 21:48:15.947
~~818|	|169|	|157873|	|-1|	|2013-11-12 21:48:15.947
~~819|	|170|	|157873|	|-1|	|2013-11-12 21:48:15.947
~~820|	|171|	|157873|	|-1|	|2013-11-12 21:48:15.947
~~821|	|172|	|157873|	|-1|	|2013-11-12 21:48:15.947
~~822|	|173|	|157873|	|-1|	|2013-11-12 21:48:15.947
~~823|	|174|	|379145|	|-1|	|2014-06-10 21:40:01.343
~~824|	|175|	|379145|	|-1|	|2014-06-10 21:40:01.347
~~825|	|176|	|379145|	|-1|	|2014-06-10 21:40:01.347
~~826|	|177|	|379145|	|-1|	|2014-06-10 21:40:01.350
~~827|	|178|	|379145|	|-1|	|2014-06-10 21:40:01.350
~~828|	|179|	|379145|	|-1|	|2014-06-10 21:40:01.350
~~829|	|180|	|379145|	|-1|	|2014-06-10 21:40:01.353
~~830|	|181|	|379145|	|-1|	|2014-06-10 21:40:01.353
~~831|	|182|	|382892|	|-1|	|2014-08-12 22:22:32.590
~~832|	|183|	|382892|	|-1|	|2014-08-12 22:22:32.607
~~833|	|184|	|382892|	|-1|	|2014-08-12 22:22:32.613
~~834|	|185|	|382892|	|-1|	|2014-08-12 22:22:32.617
~~835|	|186|	|382892|	|-1|	|2014-08-12 22:22:32.617
~~836|	|187|	|382892|	|-1|	|2014-08-12 22:22:32.620
~~837|	|188|	|382892|	|-1|	|2014-08-12 22:22:32.627
~~838|	|189|	|382892|	|-1|	|2014-08-12 22:22:32.630
~~839|	|182|	|383086|	|-1|	|2014-08-12 22:22:32.590
~~840|	|183|	|383086|	|-1|	|2014-08-12 22:22:32.607
~~841|	|184|	|383086|	|-1|	|2014-08-12 22:22:32.613
~~842|	|185|	|383086|	|-1|	|2014-08-12 22:22:32.617
