341|	|2011
~~100|	|2014
~~351|	|2014
~~358|	|2014
~~362|	|2014
~~369|	|2014
~~382|	|2014
~~384|	|2014
~~386|	|2014
~~392|	|2014
~~405|	|2014
~~527|	|2014
~~532|	|2014
~~104|	|2015
~~352|	|2015
~~359|	|2015
~~374|	|2015
~~528|	|2015
~~529|	|2015
~~530|	|2015
~~531|	|2015
~~533|	|2015
~~534|	|2015
~~543|	|2015
~~544|	|2015
~~545|	|2015
~~546|	|2015
~~547|	|2015
~~166|	|2026
~~499|	|2033
~~103|	|2038
~~375|	|2038
~~354|	|2040
~~361|	|2040
~~371|	|2040
~~376|	|2040
~~381|	|2040
~~388|	|2040
~~394|	|2041
~~403|	|2042
~~102|	|2043
~~356|	|2043
~~370|	|2043
~~377|	|2043
~~389|	|2043
~~500|	|2057
~~517|	|2057
~~213|	|2062
~~417|	|2062
~~418|	|2062
~~420|	|2062
~~526|	|2062
~~212|	|2063
~~419|	|2063
~~421|	|2063
~~223|	|2067
~~254|	|2067
~~348|	|2067
~~207|	|2071
~~129|	|2072
~~208|	|2072
~~217|	|2072
~~273|	|2074
~~329|	|2074
~~406|	|2093
~~105|	|2255
~~242|	|2255
~~106|	|2256
~~219|	|2256
~~122|	|2257
~~222|	|2257
~~239|	|2257
~~311|	|2257
~~488|	|2257
~~567|	|2257
~~122|	|2258
~~270|	|2258
~~342|	|2258
~~488|	|2258
~~567|	|2258
~~122|	|2259
~~317|	|2259
~~347|	|2259
~~488|	|2259
~~567|	|2259
~~121|	|2260
~~121|	|2261
~~125|	|2264
~~126|	|2265
~~666|	|2265
~~124|	|2266
~~307|	|2266
~~107|	|2269
~~226|	|2269
~~248|	|2269
~~492|	|2269
~~502|	|2269
~~108|	|2270
~~224|	|2270
~~309|	|2270
~~314|	|2270
~~501|	|2270
~~504|	|2274
~~506|	|2274
~~491|	|2275
~~505|	|2275
~~507|	|2275
~~664|	|2275
~~665|	|2275
~~677|	|2275
~~503|	|2276
~~508|	|2276
~~568|	|2276
~~303|	|2278
~~330|	|2278
~~110|	|2279
~~215|	|2279
~~234|	|2279
~~257|	|2279
~~391|	|2286
~~112|	|2287
~~218|	|2287
~~231|	|2287
~~233|	|2287
~~253|	|2287
~~408|	|2287
~~113|	|2288
~~214|	|2288
~~230|	|2288
~~255|	|2288
~~260|	|2288
~~114|	|2295
~~264|	|2295
~~115|	|2296
~~116|	|2297
~~297|	|2297
~~318|	|2297
~~409|	|2297
~~117|	|2304
~~216|	|2304
~~237|	|2304
~~416|	|2304
~~118|	|2305
~~277|	|2305
~~306|	|2305
~~119|	|2306
~~269|	|2306
~~350|	|2311
~~120|	|2314
~~157|	|2316
~~355|	|2316
~~383|	|2316
~~404|	|2316
~~661|	|2317
~~662|	|2317
~~673|	|2317
~~660|	|2318
~~663|	|2318
~~127|	|2319
~~272|	|2319
~~353|	|2319
~~130|	|2320
~~166|	|2324
~~167|	|2324
~~235|	|2324
~~262|	|2325
~~128|	|2327
~~123|	|2333
~~144|	|2340
~~489|	|2340
~~490|	|2340
~~141|	|2349
~~138|	|2351
~~315|	|2353
~~349|	|2356
~~133|	|2358
~~132|	|2359
~~308|	|2359
~~407|	|2359
~~134|	|2360
~~326|	|2360
~~336|	|2360
~~410|	|2360
~~139|	|2361
~~140|	|2362
~~486|	|2363
~~487|	|2363
~~137|	|2364
~~131|	|2365
~~135|	|2370
~~142|	|2371
~~221|	|2371
~~251|	|2371
~~143|	|2372
~~220|	|2372
~~225|	|2372
~~241|	|2372
~~145|	|2429
~~146|	|2430
~~373|	|2430
~~265|	|2436
~~340|	|2436
~~147|	|2439
~~148|	|2440
~~149|	|2441
~~310|	|2441
~~266|	|2442
~~284|	|2442
~~298|	|2442
~~331|	|2442
~~152|	|2443
~~150|	|2444
~~275|	|2444
~~305|	|2444
~~151|	|2445
~~261|	|2445
~~299|	|2445
~~411|	|2445
~~153|	|2446
~~285|	|2446
~~296|	|2446
~~301|	|2446
~~156|	|2447
~~325|	|2448
~~164|	|2474
~~165|	|2475
~~101|	|2479
~~205|	|2479
~~357|	|2479
~~380|	|2479
~~494|	|2479
~~159|	|2501
~~160|	|2501
~~161|	|2501
~~587|	|2501
~~589|	|2501
~~590|	|2501
~~591|	|2501
~~592|	|2501
~~608|	|2501
~~609|	|2501
~~610|	|2501
~~611|	|2501
~~612|	|2501
~~613|	|2501
~~614|	|2501
~~615|	|2501
~~616|	|2501
~~617|	|2501
~~618|	|2501
~~619|	|2501
~~620|	|2501
~~621|	|2501
~~622|	|2501
~~623|	|2501
~~624|	|2501
~~625|	|2501
~~626|	|2501
~~627|	|2501
~~628|	|2501
~~629|	|2501
~~630|	|2501
~~631|	|2501
~~632|	|2501
~~637|	|2501
~~639|	|2501
~~640|	|2501
~~641|	|2501
~~645|	|2501
~~646|	|2501
~~647|	|2501
~~648|	|2501
~~649|	|2501
~~650|	|2501
~~651|	|2501
~~653|	|2501
~~654|	|2501
~~695|	|2501
~~158|	|2505
~~162|	|2505
~~368|	|2505
~~584|	|2505
~~585|	|2505
~~586|	|2505
~~594|	|2505
~~595|	|2505
~~596|	|2505
~~597|	|2505
~~598|	|2505
~~599|	|2505
~~600|	|2505
~~601|	|2505
~~602|	|2505
~~603|	|2505
~~604|	|2505
~~605|	|2505
~~606|	|2505
~~607|	|2505
~~633|	|2505
~~634|	|2505
~~635|	|2505
~~638|	|2505
~~642|	|2505
~~643|	|2505
~~644|	|2505
~~678|	|2505
~~163|	|2509
~~385|	|2509
~~570|	|2509
~~571|	|2509
~~572|	|2509
~~573|	|2509
~~574|	|2509
~~575|	|2509
~~576|	|2509
~~577|	|2509
~~578|	|2509
~~579|	|2509
~~580|	|2509
~~581|	|2509
~~582|	|2509
~~583|	|2509
~~588|	|2509
~~593|	|2509
~~636|	|2509
~~652|	|2509
~~169|	|2542
~~286|	|2560
~~190|	|2561
~~229|	|2561
~~263|	|2561
~~319|	|2561
~~320|	|2561
~~324|	|2561
~~461|	|2561
~~697|	|2561
~~337|	|2562
~~196|	|2563
~~202|	|2566
~~250|	|2566
~~252|	|2566
~~283|	|2566
