3|	|236410
~~3|	|247841
~~3|	|256246
~~3|	|261657
~~3|	|264632
~~4|	|236409
~~5|	|65070
~~6|	|65070
~~7|	|77019
~~7|	|98956
~~7|	|102711
~~7|	|106333
~~7|	|267147
~~7|	|267166
~~7|	|267191
~~7|	|267192
~~7|	|272146
~~8|	|292541
~~9|	|292542
~~10|	|292543
~~11|	|292544
~~12|	|292541
~~13|	|292544
~~14|	|292541
~~15|	|74413
~~15|	|77019
~~15|	|78237
~~15|	|78527
~~15|	|268306
~~15|	|268307
~~15|	|268311
~~18|	|336854
~~18|	|342445
~~18|	|346872
~~18|	|353041
~~18|	|356100
~~19|	|336854
~~19|	|342445
~~19|	|346872
~~19|	|353041
~~19|	|356100
~~21|	|360733
~~21|	|360745
~~22|	|359594
~~23|	|336853
~~24|	|242265
~~25|	|242265
~~26|	|367721
~~26|	|369299
~~27|	|236409
~~30|	|157873
~~31|	|157873
~~32|	|157873
~~33|	|336853
~~34|	|124360
~~35|	|118308
~~35|	|124360
~~36|	|247841
~~37|	|112876
~~38|	|379145
~~39|	|379145
~~40|	|379145
~~41|	|72963
~~
