1|	|49|	|2|	|2|	|
~~4|	|54|	|2|	|2|	|
~~5|	|81|	|2|	|2|	|
~~13|	|65|	|2|	|3|	|
~~16|	|63|	|2|	|3|	|
~~19|	|68|	|2|	|3|	|
~~22|	|72|	|2|	|3|	|
~~23|	|77|	|2|	|3|	|
~~25|	|56|	|2|	|3|	|
~~26|	|61|	|2|	|3|	|
~~29|	|79|	|2|	|3|	|
~~30|	|86|	|2|	|3|	|
~~32|	|91|	|2|	|3|	|
~~33|	|70|	|2|	|3|	|
~~35|	|83|	|2|	|3|	|
~~62|	|65|	|3|	|6|	|
~~67|	|63|	|3|	|6|	|
~~68|	|54|	|3|	|6|	|
~~73|	|68|	|3|	|6|	|
~~80|	|81|	|3|	|6|	|
~~84|	|72|	|3|	|6|	|
~~85|	|77|	|3|	|6|	|
~~88|	|56|	|3|	|6|	|
~~89|	|61|	|3|	|6|	|
~~99|	|79|	|3|	|6|	|
~~102|	|86|	|3|	|6|	|
~~103|	|91|	|3|	|6|	|
~~105|	|70|	|3|	|6|	|
~~108|	|83|	|3|	|6|	|
~~110|	|49|	|3|	|6|	|
~~116|	|49|	|4|	|7|	|
~~119|	|54|	|4|	|7|	|
~~120|	|81|	|4|	|7|	|
~~125|	|65|	|4|	|7|	|
~~128|	|63|	|4|	|7|	|
~~131|	|68|	|4|	|7|	|
~~134|	|72|	|4|	|7|	|
~~135|	|77|	|4|	|7|	|
~~137|	|56|	|4|	|7|	|
~~138|	|61|	|4|	|7|	|
~~141|	|79|	|4|	|7|	|
~~142|	|86|	|4|	|7|	|
~~144|	|91|	|4|	|7|	|
~~145|	|70|	|4|	|7|	|
~~147|	|83|	|4|	|7|	|
~~174|	|65|	|5|	|16|	|
~~179|	|63|	|5|	|16|	|
~~180|	|54|	|5|	|16|	|
~~185|	|68|	|5|	|16|	|
~~192|	|81|	|5|	|16|	|
~~196|	|72|	|5|	|16|	|
~~197|	|77|	|5|	|16|	|
~~200|	|56|	|5|	|16|	|
~~201|	|61|	|5|	|16|	|
~~211|	|79|	|5|	|16|	|
~~214|	|86|	|5|	|16|	|
~~215|	|91|	|5|	|16|	|
~~217|	|70|	|5|	|16|	|
~~220|	|83|	|5|	|16|	|
~~222|	|49|	|5|	|16|	|
~~228|	|65|	|6|	|18|	|17
~~233|	|63|	|6|	|18|	|17
~~235|	|54|	|6|	|18|	|17
~~240|	|68|	|6|	|18|	|17
~~247|	|81|	|6|	|18|	|17
~~251|	|72|	|6|	|18|	|17
~~252|	|77|	|6|	|18|	|17
~~255|	|56|	|6|	|18|	|17
~~256|	|61|	|6|	|18|	|17
~~266|	|79|	|6|	|18|	|17
~~270|	|86|	|6|	|18|	|17
~~271|	|91|	|6|	|18|	|17
~~273|	|70|	|6|	|18|	|17
~~276|	|83|	|6|	|18|	|17
~~278|	|49|	|6|	|18|	|17
~~281|	|54|	|7|	|19|	|
~~284|	|81|	|7|	|19|	|
~~291|	|49|	|7|	|19|	|
~~295|	|65|	|7|	|20|	|
~~300|	|63|	|7|	|20|	|
