1|	|12DA|	|2006-03-31 09:53:15.763|	|1|	|06:00:00|	|18:00:00
~~2|	|12NT|	|2006-03-31 09:53:15.763|	|1|	|18:00:00|	|06:00:00
~~5|	|12DA|	|2006-08-30 09:35:12.453|	|2|	|06:00:00|	|18:00:00
~~6|	|12NT|	|2006-08-30 09:35:12.453|	|2|	|18:00:00|	|06:00:00
~~17|	|D|	|2010-05-25 14:19:00.000|	|3|	|08:00:00|	|20:00:00
~~18|	|N|	|2010-05-25 14:19:00.000|	|3|	|20:00:00|	|08:00:00
~~7|	|10NT|	|2008-10-15 20:32:17.193|	|5|	|21:00:00|	|07:00:00
~~10|	|10NT|	|2008-10-15 20:32:17.210|	|5|	|19:00:00|	|05:00:00
~~8|	|12DA|	|2008-10-15 20:32:17.210|	|5|	|07:00:00|	|19:00:00
~~9|	|12NT|	|2008-10-15 20:32:17.210|	|5|	|19:00:00|	|07:00:00
~~11|	|8AFT|	|2008-10-15 20:32:17.210|	|5|	|13:00:00|	|21:00:00
~~12|	|8DA|	|2008-10-15 20:32:17.210|	|5|	|05:00:00|	|13:00:00
~~27|	|D|	|2013-08-20 22:21:42.647|	|6|	|08:00:00|	|20:00:00
~~28|	|N|	|2013-08-20 22:21:42.647|	|6|	|20:00:00|	|08:00:00
~~15|	|D|	|2008-10-15 20:32:17.000|	|7|	|06:00:00|	|18:00:00
~~16|	|N|	|2008-10-15 20:32:17.000|	|7|	|18:00:00|	|06:00:00
~~19|	|D|	|2011-05-17 21:08:04.123|	|8|	|06:30:00|	|18:30:00
~~20|	|N|	|2011-05-17 21:08:04.123|	|8|	|18:30:00|	|06:30:00
~~21|	|Jour|	|2012-02-14 21:21:14.363|	|9|	|06:00:00|	|18:00:00
~~22|	|Nuit|	|2012-02-14 21:21:14.363|	|9|	|18:00:00|	|06:00:00
~~23|	|D|	|2012-11-13 21:12:29.457|	|10|	|05:30:00|	|17:30:00
~~24|	|N|	|2012-11-13 21:12:29.470|	|10|	|17:30:00|	|05:30:00
~~25|	|D|	|2013-02-05 21:15:55.957|	|11|	|07:00:00|	|19:00:00
~~26|	|N|	|2013-02-05 21:15:55.973|	|11|	|19:00:00|	|07:00:00
~~29|	|D|	|2014-06-10 21:39:57.260|	|12|	|08:00:00|	|20:00:00
~~30|	|N|	|2014-06-10 21:39:57.260|	|12|	|20:00:00|	|08:00:00
~~31|	|Day|	|2014-08-12 22:21:13.590|	|13|	|06:00:00|	|18:00:00
~~32|	|Night|	|2014-08-12 22:21:13.590|	|13|	|18:00:00|	|06:00:00
~~
