1|	|7|	|20|	|5|	|7|	|1|	|1|	|1|	|1|	|1|	|1|	|1|	|Operating Engineer Log|	|7|	|7|	|1|	|0|	|30|	|0|	|1900-01-01 10:00:00.000|	|7|	|30|	|3|	|0|	|0|	|1|	|14|	|0|	|1|	|0|	|0|	|2|	|2|	|0|	|0|	|0|	|0|	|1|	|1|	|1|	|1|	|1|	|en|	|1|	|1|	|7|	|3|	|0|	|0|	|5|	|0|	|60|	|60|	|3|	||	|0|	|3|	|0|	|1|	|0|	|0|	|0|	||	|0|	|1|	|3|	||	|1|	|0|	|0
~~2|	|5|	|5|	|10|	|10|	|1|	|0|	|0|	|0|	|0|	|0|	|0|	|Operating Engineer Log|	|7|	|7|	|1|	|0|	|30|	|0|	|1900-01-01 10:00:00.000|	|14|	|30|	|3|	|0|	|1|	|1|	|14|	|1|	|1|	|1|	|0|	|2|	|2|	|1|	|0|	|0|	|0|	|1|	|1|	|1|	|1|	|0|	|en|	|1|	|1|	|7|	|3|	|0|	|0|	|5|	|0|	|30|	|30|	|3|	||	|0|	|3|	|0|	|1|	|0|	|1|	|1|	||	|0|	|1|	|3|	||	|1|	|0|	|0
~~3|	|7|	|14|	|30|	|7|	|1|	|1|	|1|	|1|	|1|	|1|	|1|	|Chief Engineer Log|	|60|	|7|	|2|	|0|	|30|	|1|	|1900-01-01 10:00:00.000|	|30|	|30|	|3|	|0|	|1|	|0|	|14|	|0|	|1|	|1|	|0|	|2|	|2|	|1|	|0|	|0|	|0|	|1|	|1|	|1|	|1|	|1|	|en|	|0|	|0|	|7|	|3|	|0|	|0|	|5|	|1|	|120|	|120|	|7|	||	|0|	|365|	|0|	|7|	|1|	|0|	|0|	||	|0|	|1|	|3|	||	|1|	|0|	|0
~~5|	|30|	|14|	|30|	|7|	|1|	|0|	|0|	|0|	|1|	|1|	|1|	|Chief Engineer Log|	|7|	|7|	|1|	|0|	|30|	|1|	|1753-01-01 10:00:00.000|	|0|	|30|	|3|	|1|	|1|	|1|	|14|	|1|	|1|	|1|	|0|	|3|	|4|	|1|	|0|	|0|	|7|	|1|	|1|	|1|	|1|	|1|	|en|	|0|	|0|	|0|	|3|	|0|	|0|	|5|	|0|	|30|	|30|	|3|	||	|0|	|3|	|0|	|1|	|1|	|0|	|0|	||	|0|	|1|	|3|	||	|1|	|0|	|0
~~6|	|7|	|14|	|30|	|7|	|1|	|1|	|1|	|1|	|0|	|1|	|1|	|Chief Engineer Log|	|7|	|7|	|2|	|0|	|30|	|0|	|1900-01-01 10:00:00.000|	|30|	|30|	|3|	|1|	|1|	|1|	|14|	|1|	|1|	|1|	|0|	|3|	|7|	|1|	|0|	|0|	|0|	|1|	|1|	|1|	|1|	|0|	|en|	|0|	|0|	|0|	|5|	|0|	|0|	|5|	|0|	|60|	|60|	|3|	||	|1|	|3|	|0|	|7|	|1|	|0|	|0|	|1|	|0|	|1|	|3|	||	|1|	|0|	|0
~~7|	|30|	|14|	|30|	|7|	|1|	|1|	|1|	|1|	|1|	|1|	|1|	|Chief Engineer Log|	|7|	|7|	|1|	|1|	|30|	|0|	|1753-01-01 10:00:00.000|	|30|	|30|	|3|	|0|	|1|	|1|	|14|	|0|	|1|	|0|	|1|	|2|	|2|	|1|	|0|	|0|	|0|	|1|	|1|	|1|	|1|	|1|	|en|	|0|	|0|	|0|	|3|	|0|	|0|	|5|	|0|	|30|	|30|	|3|	||	|0|	|3|	|0|	|1|	|1|	|0|	|0|	|3|	|0|	|1|	|3|	||	|1|	|0|	|0
~~8|	|7|	|7|	|7|	|7|	|1|	|1|	|1|	|1|	|1|	|1|	|1|	|Chief Engineer Log|	|7|	|7|	|2|	|0|	|30|	|1|	|1900-01-01 10:00:00.000|	|1|	|30|	|3|	|1|	|0|	|1|	|14|	|1|	|1|	|1|	|0|	|2|	|3|	|1|	|1|	|7|	|1|	|1|	|2|	|1|	|1|	|1|	|en|	|1|	|0|	|0|	|7|	|1|	|0|	|7|	|1|	|60|	|60|	|3|	||	|1|	|3|	|1|	|1|	|1|	|0|	|0|	||	|0|	|1|	|3|	||	|1|	|1|	|1
~~9|	|7|	|3|	|7|	|7|	|1|	|1|	|1|	|1|	|0|	|1|	|1|	|Ing‚nieur de proc‚d‚s l'entr‚e|	|7|	|2|	|1|	|0|	|30|	|0|	|1753-01-01 10:00:00.000|	|1|	|30|	|3|	|1|	|0|	|1|	|14|	|1|	|0|	|1|	|0|	|7|	|3|	|0|	|0|	|5|	|5|	|0|	|2|	|0|	|0|	|0|	|fr|	|1|	|0|	|0|	|5|	|0|	|1|	|7|	|0|	|30|	|30|	|3|	||	|0|	|3|	|0|	|1|	|1|	|0|	|0|	|3|	|1|	|1|	|3|	||	|1|	|0|	|0
~~10|	|7|	|7|	|7|	|7|	|1|	|1|	|1|	|1|	|1|	|1|	|1|	|Chief Engineer Log|	|7|	|7|	|2|	|0|	|7|	|1|	|1753-01-01 10:00:00.000|	|1|	|30|	|3|	|1|	|1|	|1|	|14|	|1|	|1|	|1|	|0|	|3|	|3|	|1|	|0|	|14|	|7|	|1|	|1|	|1|	|1|	|0|	|en|	|1|	|0|	|0|	|3|	|0|	|0|	|5|	|1|	|60|	|60|	|3|	|3|	|0|	|3|	|0|	|1|	|0|	|0|	|0|	||	|1|	|1|	|3|	||	|1|	|0|	|0
~~11|	|7|	|7|	|7|	|7|	|1|	|1|	|1|	|1|	|1|	|1|	|1|	|Chief Engineer Log|	|7|	|7|	|2|	|1|	|7|	|1|	|1753-01-01 10:00:00.000|	|15|	|30|	|3|	|1|	|1|	|1|	|14|	|1|	|1|	|1|	|1|	|6|	|6|	|1|	|0|	|0|	|0|	|1|	|1|	|1|	|1|	|0|	|en|	|0|	|0|	|0|	|7|	|0|	|0|	|7|	|1|	|60|	|60|	|3|	|3|	|1|	|3|	|0|	|1|	|1|	|0|	|0|	||	|0|	|1|	|3|	||	|1|	|0|	|0
~~12|	|7|	|7|	|7|	|7|	|1|	|1|	|1|	|1|	|1|	|1|	|1|	|Chief Engineer Log|	|7|	|7|	|2|	|0|	|30|	|1|	|1900-01-01 10:00:00.000|	|1|	|30|	|3|	|1|	|0|	|1|	|14|	|1|	|1|	|1|	|0|	|2|	|3|	|1|	|1|	|7|	|1|	|1|	|1|	|1|	|1|	|1|	|en|	|1|	|0|	|0|	|7|	|1|	|0|	|7|	|0|	|60|	|60|	|3|	||	|0|	|3|	|1|	|1|	|0|	|1|	|1|	|1|	|0|	|1|	|3|	||	|0|	|0|	|0
~~13|	|7|	|7|	|7|	|7|	|1|	|1|	|1|	|1|	|0|	|1|	|1|	|Chief Engineer Log|	|7|	|7|	|2|	|0|	|30|	|1|	|1900-01-01 10:00:00.000|	|1|	|30|	|3|	|1|	|0|	|1|	|14|	|1|	|1|	|1|	|0|	|2|	|3|	|1|	|1|	|7|	|1|	|1|	|1|	|0|	|0|	|0|	|en|	|0|	|0|	|0|	|5|	|1|	|0|	|7|	|1|	|30|	|30|	|3|	||	|0|	|3|	|1|	|1|	|0|	|0|	|0|	||	|0|	|0|	|3|	||	|0|	|0|	|0
~~
