3|	|102148
~~4|	|95811
~~4|	|96814
~~4|	|97831
~~4|	|97892
~~4|	|103698
~~4|	|103712
~~4|	|107046
~~4|	|107070
~~4|	|107113
~~4|	|111116
~~4|	|111141
~~4|	|111180
~~4|	|111558
~~5|	|91198
~~5|	|92097
~~5|	|92117
~~5|	|92755
~~5|	|93128
~~5|	|95811
~~5|	|96814
~~5|	|97831
~~5|	|97892
~~5|	|99135
~~5|	|100403
~~5|	|100551
~~5|	|102147
~~5|	|102224
~~5|	|103079
~~5|	|103110
~~5|	|103712
~~5|	|105492
~~5|	|105694
~~5|	|107046
~~5|	|107070
~~5|	|107113
~~5|	|109304
~~5|	|110909
~~5|	|111116
~~5|	|111141
~~5|	|111180
~~5|	|111558
~~6|	|92097
~~6|	|96826
~~6|	|99135
~~6|	|100403
~~6|	|100551
~~6|	|105492
~~6|	|105694
~~6|	|109304
~~7|	|91198
~~7|	|92117
~~7|	|92755
~~7|	|93128
~~7|	|102147
~~7|	|102224
~~7|	|103079
~~7|	|103110
~~7|	|110909
~~15|	|323603
~~15|	|336908
~~15|	|355130
~~16|	|325623
~~16|	|326455
~~16|	|331651
~~
