1|	|8438
~~1|	|8457
~~1|	|9633
~~1|	|9810
~~1|	|9928
~~1|	|11624
~~1|	|12925
~~1|	|15090
~~1|	|15105
~~1|	|15174
~~1|	|15183
~~1|	|15513
~~1|	|33394
~~2|	|332
~~2|	|812
~~2|	|1282
~~2|	|1459
~~2|	|1501
~~2|	|5833
~~2|	|6570
~~3|	|3
~~3|	|332
~~3|	|504
~~3|	|667
~~3|	|812
~~3|	|1282
~~3|	|1388
~~3|	|1501
~~4|	|3
~~4|	|282
~~4|	|332
~~4|	|504
~~4|	|667
~~4|	|742
~~4|	|812
~~4|	|1282
~~4|	|1388
~~4|	|1496
~~4|	|1501
~~4|	|5833
~~4|	|5847
~~5|	|3
~~5|	|282
~~5|	|332
~~5|	|504
~~5|	|667
~~5|	|812
~~5|	|1282
~~5|	|1388
~~5|	|1459
~~5|	|1501
~~6|	|504
~~6|	|667
~~6|	|812
~~6|	|1388
~~6|	|1496
~~6|	|1501
~~6|	|5847
~~6|	|6570
~~8|	|8457
~~8|	|8572
~~8|	|9633
~~8|	|9810
~~8|	|11515
~~8|	|12925
~~8|	|13864
~~8|	|14844
~~8|	|14890
~~8|	|33394
~~10|	|8457
~~10|	|9633
~~10|	|12925
~~10|	|15822
~~10|	|16643
~~10|	|34404
~~12|	|7465
~~12|	|8457
~~12|	|9633
~~12|	|9810
~~12|	|9928
~~12|	|12925
~~12|	|15513
~~13|	|17496
~~13|	|19441
~~13|	|20587
~~13|	|20800
~~13|	|20807
~~13|	|20927
~~13|	|21125
~~13|	|23137
~~13|	|23142
~~13|	|23193
~~13|	|113563
~~14|	|17496
~~14|	|17526
~~14|	|17586
~~14|	|20587
~~14|	|20800
~~14|	|20807
~~14|	|20927
~~14|	|21107
~~14|	|22077
~~14|	|23095
~~14|	|23137
~~14|	|23150
~~14|	|23193
~~14|	|24534
~~15|	|17496
~~15|	|19441
~~15|	|20587
~~15|	|20800
~~15|	|20807
~~15|	|20927
~~15|	|23137
~~15|	|23142
~~15|	|23193
~~15|	|113563
~~16|	|17496
~~16|	|20587
~~16|	|20800
~~16|	|20807
~~16|	|20927
~~16|	|21125
~~16|	|22077
~~16|	|23137
~~16|	|23193
~~17|	|17496
~~17|	|17526
~~17|	|17586
~~17|	|20587
~~17|	|20800
~~17|	|20807
~~17|	|20927
~~17|	|21107
~~17|	|23095
~~17|	|23137
~~17|	|23150
~~17|	|23193
~~17|	|24534
~~18|	|24785
~~18|	|26798
~~18|	|28660
~~21|	|24785
~~21|	|26798
~~21|	|28660
~~22|	|742
~~22|	|26798
~~22|	|27461
~~22|	|32520
~~22|	|32525
~~23|	|26698
~~23|	|26798
~~23|	|30858
~~27|	|38420
~~27|	|41445
~~27|	|54496
~~28|	|41445
~~29|	|38420
~~29|	|54496
~~31|	|63075
~~32|	|58914
~~32|	|63600
~~33|	|63419
~~33|	|63600
~~34|	|40808
~~34|	|41947
~~34|	|43235
~~34|	|49501
~~34|	|52717
~~34|	|54002
~~34|	|55143
~~34|	|59145
~~34|	|59909
~~34|	|60711
~~36|	|49501
~~36|	|52717
~~37|	|41947
~~38|	|40808
~~38|	|43235
~~39|	|54002
~~39|	|59145
~~39|	|59909
~~39|	|60711
~~40|	|41445
~~42|	|37670
~~42|	|44248
~~42|	|46010
~~42|	|50917
~~42|	|54002
~~42|	|55143
~~42|	|55401
~~42|	|61417
~~42|	|62152
~~43|	|50917
~~44|	|44248
~~44|	|46010
~~45|	|54002
~~45|	|55401
~~45|	|61417
~~45|	|62152
~~46|	|37670
~~46|	|55143
~~46|	|55401
~~49|	|58335
~~49|	|58577
~~49|	|59129
~~49|	|62703
~~49|	|63376
~~50|	|36355
~~50|	|36934
~~50|	|40598
~~50|	|58335
~~50|	|58577
~~50|	|58608
~~50|	|58856
~~50|	|59129
~~50|	|62703
~~50|	|62800
~~50|	|63376
~~51|	|35717
~~51|	|58856
~~52|	|36355
~~52|	|40598
~~53|	|36934
~~53|	|62800
~~54|	|35482
~~54|	|35717
~~54|	|36355
~~54|	|36934
~~54|	|37145
~~54|	|38122
~~54|	|40598
~~54|	|50288
~~54|	|58335
~~54|	|58577
~~54|	|58608
~~54|	|58856
~~54|	|59050
~~54|	|59129
~~54|	|62703
~~54|	|62800
~~54|	|63357
~~54|	|63376
~~55|	|35482
~~55|	|35717
~~55|	|36355
~~55|	|36934
~~55|	|37145
~~55|	|38122
~~55|	|40598
~~55|	|58335
~~55|	|58577
~~55|	|58608
~~55|	|58856
~~55|	|59050
~~55|	|59129
~~55|	|62703
~~55|	|62800
~~55|	|63357
