1|	|1|	|1|	|1
~~2|	|1|	|2|	|1
~~3|	|1|	|3|	|1
~~4|	|1|	|4|	|1
~~5|	|1|	|5|	|1
~~6|	|1|	|6|	|1
~~7|	|1|	|7|	|1
~~8|	|1|	|8|	|1
~~9|	|1|	|9|	|1
~~10|	|1|	|10|	|1
~~11|	|1|	|11|	|1
~~12|	|1|	|12|	|1
~~13|	|1|	|13|	|1
~~14|	|1|	|14|	|1
~~15|	|1|	|15|	|1
~~16|	|1|	|16|	|1
~~17|	|1|	|17|	|1
~~18|	|1|	|18|	|1
~~19|	|1|	|19|	|1
~~20|	|1|	|20|	|1
~~21|	|1|	|21|	|1
~~22|	|1|	|22|	|1
~~23|	|1|	|23|	|1
~~24|	|1|	|24|	|1
~~25|	|1|	|25|	|1
~~67|	|1|	|67|	|1
~~243|	|1|	|2224|	|1
~~244|	|1|	|2225|	|1
~~245|	|1|	|2226|	|1
~~246|	|1|	|2227|	|1
~~247|	|1|	|2228|	|1
~~248|	|1|	|2229|	|1
~~249|	|1|	|2230|	|1
~~250|	|1|	|2231|	|1
~~251|	|1|	|2232|	|1
~~252|	|1|	|2233|	|1
~~253|	|1|	|2234|	|1
~~254|	|1|	|2235|	|1
~~255|	|1|	|2236|	|1
~~256|	|1|	|2237|	|1
~~257|	|1|	|2238|	|1
~~258|	|1|	|2239|	|1
~~259|	|1|	|2240|	|1
~~260|	|1|	|2241|	|1
~~261|	|1|	|2242|	|1
~~262|	|1|	|2243|	|1
~~263|	|1|	|2244|	|1
~~264|	|1|	|2245|	|1
~~265|	|1|	|2246|	|1
~~266|	|1|	|2247|	|1
~~267|	|1|	|2248|	|1
~~272|	|1|	|2253|	|1
~~548|	|1|	|2532|	|1
~~554|	|1|	|2538|	|1
~~555|	|1|	|2539|	|1
~~714|	|1|	|1|	|2
~~715|	|1|	|2|	|2
~~716|	|1|	|3|	|2
~~717|	|1|	|4|	|2
~~718|	|1|	|5|	|2
~~719|	|1|	|6|	|2
~~720|	|1|	|7|	|2
~~721|	|1|	|8|	|2
~~722|	|1|	|9|	|2
~~723|	|1|	|10|	|2
~~724|	|1|	|11|	|2
~~725|	|1|	|12|	|2
~~726|	|1|	|13|	|2
~~727|	|1|	|14|	|2
