225865|	|3|	|4|	|1|	|2014-08-16 06:00:55.000|	|2014-08-16 18:00:00.000|	|804041|	||	|Tuyauteur|	|Faire soudure sur le toit de la salle des pompes cìtÇ sud ( C-4325 vers F-4311 ).
Harnais au besoin.|	|2014-08-15 15:33:17.133|	|7406|	|0|	|0|	|2014-08-15 15:33:11.177|	|7406|	||	||	|2014-08-15 15:33:17.133
~~225866|	|3|	|3|	|96|	|2014-08-18 06:00:17.000|	|2014-08-18 18:00:00.000|	|804042|	||	|Calorifugeur|	|Installer et dÇmonter Çchafaudage, enlever et installer isolation dans l'unitÇ #43 en gÇnÇral.
Utilisation d'un chariot ÇlÇvateur.|	|2014-08-15 15:34:40.690|	|7390|	|0|	|0|	|2014-08-15 15:34:35.090|	|7390|	||	|2|	|2014-08-15 15:34:40.690
~~225867|	|3|	|3|	|96|	|2014-08-18 06:00:45.000|	|2014-08-18 18:00:00.000|	|804043|	||	|Calorifugeur|	|Installer et dÇmonter Çchafaudage, enlever et installer isolation dans l'unitÇ #44 en gÇnÇral.
Utilisation d'un chariot ÇlÇvateur.|	|2014-08-15 15:35:01.720|	|7390|	|0|	|0|	|2014-08-15 15:34:56.713|	|7390|	||	|2|	|2014-08-15 15:35:01.720
~~225868|	|3|	|3|	|8|	|2014-08-16 06:00:50.000|	|2014-08-16 18:00:00.000|	|804044|	||	|Tuyauteur / Calorifugeur|	|Mobilisation de matÇriel et enlever la ligne de vapeur 3/4 pouce qui rÇchauffe (traceur) le tuyau 24" sortie du J-4302.
Enlever une partie d'isolation sur la ligne.|	|2014-08-15 15:35:35.053|	|7406|	|0|	|0|	|2014-08-15 15:35:28.330|	|7406|	||	||	|2014-08-15 15:35:35.053
~~225869|	|3|	|4|	|1|	|2014-08-16 06:00:18.000|	|2014-08-16 18:00:00.000|	|804045|	||	|Tuyauteur|	|Mobilisation et installation d'une nouvelle ligne 2'' de vapeur prÇs du F-4307 sur le ratelier .
( soudure, meulage et boltage ).|	|2014-08-15 15:36:35.900|	|7406|	|0|	|0|	|2014-08-15 15:36:29.910|	|7406|	||	||	|2014-08-15 15:36:35.900
~~225870|	|3|	|4|	|1|	|2014-08-16 06:00:17.000|	|2014-08-16 18:00:00.000|	|804046|	||	|Tuyauteur|	|Mobilisation et prÇparation pour la soudure de la nouvelle ligne de 3'' (C-4325) sur le ratelier au dessus de la pompe house du #43.|	|2014-08-15 15:37:35.313|	|7406|	|0|	|0|	|2014-08-15 15:37:29.837|	|7406|	||	||	|2014-08-15 15:37:35.313
~~225871|	|3|	|3|	|96|	|2014-08-18 06:00:47.000|	|2014-08-18 18:00:00.000|	|804047|	||	|êlectricien|	|Installation de chemins de cÉble + passer cable + raccord de Çclairage permanent au 43, F-4302, F-4342s et Çchangeur haute-pression.|	|2014-08-15 15:37:48.647|	|7390|	|0|	|0|	|2014-08-15 15:37:43.563|	|7390|	||	||	|2014-08-15 15:37:48.647
~~225872|	|3|	|3|	|8|	|2014-08-18 06:00:08.000|	|2014-08-18 18:00:00.000|	|804048|	||	|êlectricien|	|Tirage de cÉbles et rentrer des cÉbles dans HPC et HPN.|	|2014-08-15 15:39:38.650|	|7390|	|0|	|0|	|2014-08-15 15:39:33.407|	|7390|	||	||	|2014-08-15 15:39:38.650
~~225873|	|3|	|3|	|8|	|2014-08-18 06:00:47.000|	|2014-08-18 18:00:00.000|	|804049|	||	|êlectricien|	|PrÇparation et fabrication de supports et de tray au tempo avenue G et 3 iäme rue.|	|2014-08-15 15:40:20.523|	|7390|	|0|	|0|	|2014-08-15 15:40:15.483|	|7390|	||	||	|2014-08-15 15:40:20.523
~~225874|	|3|	|3|	|8|	|2014-08-18 06:00:27.000|	|2014-08-18 18:00:00.000|	|804050|	||	|êlectricien|	|Installation de nouveaux traceurs Çlectrique Ö l'unitÇ #43.
Montage d'Çchafaudage, utilisation d'une nacelle.|	|2014-08-15 15:40:52.060|	|7390|	|0|	|0|	|2014-08-15 15:40:45.760|	|7390|	||	||	|2014-08-15 15:40:52.060
~~225875|	|3|	|3|	|96|	|2014-08-16 06:00:46.000|	|2014-08-16 18:00:00.000|	|804051|	||	|Tuyauteur|	|Installer et monter Çchafaudage dans l'unitÇ #44 .
+ Mobilisation matÇriels.
Utilisation d'un chariot ÇlÇvateur.|	|2014-08-15 15:41:10.343|	|7313|	|0|	|0|	|2014-08-15 15:41:04.913|	|7313|	||	|2|	|2014-08-15 15:41:10.343
~~225876|	|3|	|4|	|1|	|2014-08-16 06:00:03.000|	|2014-08-16 18:00:00.000|	|804052|	||	|Tuyauteur|	|Terminer cabane et soudure sur tuyauterie de Çchageur C-4325.
camion fleche/chariot elevateur|	|2014-08-15 15:43:26.847|	|7406|	|0|	|0|	|2014-08-15 15:43:20.153|	|7406|	||	||	|2014-08-15 15:43:26.847
~~225877|	|3|	|3|	|19|	|2014-08-18 06:00:32.000|	|2014-08-18 18:00:00.000|	|804053|	||	|Chaudronnier|	|Assembler les nouvelles fin-fan C-4304- A/B Ö l'aide d'une grue.
Chariot Çlevateur|	|2014-08-15 15:44:11.527|	|7390|	|0|	|0|	|2014-08-15 15:44:06.097|	|7390|	||	||	|2014-08-15 15:44:11.527
~~225878|	|3|	|3|	|96|	|2014-08-16 16:00:09.000|	|2014-08-16 18:00:00.000|	|804054|	||	|Tuyauteur|	|Installation de tuyauterie et plaques, supports de Çchageur C-4325.
chariot elevateur|	|2014-08-15 15:44:50.670|	|7406|	|0|	|0|	|2014-08-15 15:44:43.727|	|7406|	||	||	|2014-08-15 15:44:50.670
~~225879|	|3|	|4|	|1|	|2014-08-16 06:00:37.000|	|2014-08-16 18:00:00.000|	|804055|	||	|Tuyauteur|	|Installation de la nouvelle ligne de 6" sur le pipe rack Ö l'est de la B-4302 axe nord/sud de la salle des pompes ligne O-892.|	|2014-08-15 15:45:27.117|	|7313|	|0|	|0|	|2014-08-15 15:45:21.207|	|7313|	||	||	|2014-08-15 15:45:27.117
~~225880|	|3|	|3|	|96|	|2014-08-18 06:00:14.000|	|2014-08-18 18:00:00.000|	|804056|	||	|êlectricien|	|Passer cable pour alimentation des transformateurs et thermetco.
Installation tranformateur 1MUA cote est/ouest du K-4305.  Prise de photo dans l'unitÇ
Chariot ÇlÇvateur/camion fläche.|	|2014-08-15 15:45:31.160|	|7390|	|0|	|0|	|2014-08-15 15:45:26.323|	|7390|	||	||	|2014-08-15 15:45:31.160
~~225881|	|3|	|3|	|8|	|2014-08-16 06:00:56.000|	|2014-08-16 18:00:00.000|	|804057|	||	|Tuyauteur|	|Installation de tuyauterie dans le pipe rack au dessus de la salle des pompes de l'unitÇ #43.
