35174|	|2014-08-03 08:40:30.887|	|2014-08-03 08:40:30.887|	|6053
~~35177|	|2014-08-03 09:06:16.680|	|2014-08-03 09:07:20.000|	|5277
~~35178|	|2014-08-03 09:09:04.080|	|2014-08-03 09:09:04.080|	|5277
~~35179|	|2014-08-03 09:09:14.923|	|2014-08-03 09:09:14.923|	|5277
~~35180|	|2014-08-03 12:12:07.527|	|2014-08-03 12:12:07.527|	|5277
~~35181|	|2014-08-03 12:12:12.627|	|2014-08-03 12:12:12.627|	|5277
~~35182|	|2014-08-03 12:12:18.727|	|2014-08-03 12:12:18.727|	|5277
~~35183|	|2014-08-03 12:18:30.970|	|2014-08-03 12:18:30.970|	|6053
~~35184|	|2014-08-03 12:21:31.357|	|2014-08-03 12:21:31.357|	|6053
~~35185|	|2014-08-03 12:22:08.390|	|2014-08-06 15:14:14.657|	|7503
~~35186|	|2014-08-03 12:22:54.537|	|2014-08-03 12:22:54.537|	|6053
~~35187|	|2014-08-03 14:24:14.603|	|2014-08-03 14:24:14.603|	|6053
~~35188|	|2014-08-03 14:25:19.453|	|2014-08-03 14:25:19.453|	|6053
~~35189|	|2014-08-03 15:56:02.920|	|2014-08-03 15:56:02.920|	|5600
~~35190|	|2014-08-03 15:56:15.447|	|2014-08-03 15:56:15.447|	|5600
~~35191|	|2014-08-03 16:24:58.543|	|2014-08-03 16:24:58.543|	|5277
~~35192|	|2014-08-03 16:25:04.720|	|2014-08-03 16:25:04.720|	|5277
~~35193|	|2014-08-03 16:25:12.177|	|2014-08-03 16:25:12.177|	|5277
~~35194|	|2014-08-03 16:25:19.463|	|2014-08-03 16:25:19.463|	|5277
~~35195|	|2014-08-03 16:51:13.947|	|2014-08-03 16:51:13.947|	|5600
~~35196|	|2014-08-03 16:53:54.533|	|2014-08-03 16:53:54.533|	|5600
~~35197|	|2014-08-03 16:55:51.160|	|2014-08-03 16:55:51.160|	|5600
~~35198|	|2014-08-03 17:01:01.163|	|2014-08-03 17:01:01.163|	|5600
~~35199|	|2014-08-03 17:14:45.523|	|2014-08-03 17:14:45.523|	|6053
~~35200|	|2014-08-03 17:15:49.407|	|2014-08-03 17:15:49.407|	|6053
~~35201|	|2014-08-03 17:17:21.963|	|2014-08-03 17:17:21.963|	|6053
~~35202|	|2014-08-03 18:03:12.877|	|2014-08-03 18:03:12.877|	|6053
~~35203|	|2014-08-03 18:31:07.863|	|2014-08-03 18:31:07.863|	|5600
~~35204|	|2014-08-04 00:32:20.960|	|2014-08-04 00:32:20.960|	|5948
~~35205|	|2014-08-04 00:32:28.247|	|2014-08-04 00:32:28.247|	|5948
~~35206|	|2014-08-04 00:32:34.393|	|2014-08-04 00:32:34.393|	|5948
~~35207|	|2014-08-04 00:32:52.007|	|2014-08-04 00:32:52.007|	|5948
~~35208|	|2014-08-04 01:19:15.210|	|2014-08-04 01:19:15.210|	|5266
~~35209|	|2014-08-04 01:19:25.240|	|2014-08-04 01:19:25.240|	|5266
~~35210|	|2014-08-04 01:19:32.080|	|2014-08-04 01:19:32.080|	|5266
~~35211|	|2014-08-04 01:19:39.670|	|2014-08-04 01:19:39.670|	|5266
~~35212|	|2014-08-04 01:19:49.590|	|2014-08-04 01:19:49.590|	|5266
~~35213|	|2014-08-04 01:20:38.540|	|2014-08-04 01:20:38.540|	|5266
~~35214|	|2014-08-04 01:20:48.650|	|2014-08-04 01:20:48.650|	|5266
~~35215|	|2014-08-04 01:21:19.103|	|2014-08-04 01:21:19.103|	|5266
~~35216|	|2014-08-04 01:21:31.003|	|2014-08-04 01:21:31.003|	|5266
~~35217|	|2014-08-04 01:40:02.513|	|2014-08-04 01:40:02.513|	|5948
~~35218|	|2014-08-04 02:09:10.900|	|2014-08-04 02:09:10.900|	|5948
~~35219|	|2014-08-04 03:00:26.380|	|2014-08-04 03:00:26.380|	|5948
~~35220|	|2014-08-04 04:33:33.553|	|2014-08-04 04:33:33.553|	|5948
~~35221|	|2014-08-04 04:44:19.680|	|2014-08-04 04:44:19.680|	|5266
~~35222|	|2014-08-04 04:44:30.930|	|2014-08-04 04:44:30.930|	|5266
~~35223|	|2014-08-04 04:44:58.293|	|2014-08-04 04:44:58.293|	|5266
~~35224|	|2014-08-04 05:01:35.873|	|2014-08-04 05:01:35.873|	|5948
~~35225|	|2014-08-04 05:05:29.187|	|2014-08-04 05:05:29.187|	|5266
~~35226|	|2014-08-04 06:00:55.317|	|2014-08-04 06:00:55.317|	|5948
~~35227|	|2014-08-04 07:05:37.523|	|2014-08-04 07:05:37.523|	|5948
~~35228|	|2014-08-04 08:04:42.617|	|2014-08-04 08:06:04.780|	|6053
~~35229|	|2014-08-04 08:05:20.040|	|2014-08-04 08:07:56.503|	|6053
~~35230|	|2014-08-04 08:15:31.120|	|2014-08-04 08:15:31.137|	|5277
~~35231|	|2014-08-04 08:15:35.007|	|2014-08-04 08:15:35.007|	|5600
~~35232|	|2014-08-04 08:15:36.063|	|2014-08-04 08:15:36.063|	|5277
~~35233|	|2014-08-04 08:15:42.507|	|2014-08-04 08:15:42.507|	|5277
~~35234|	|2014-08-04 09:19:32.897|	|2014-08-04 09:19:32.897|	|5600
~~35235|	|2014-08-04 10:19:06.423|	|2014-08-04 10:19:06.423|	|5600
~~35236|	|2014-08-04 11:30:12.657|	|2014-08-04 11:30:12.657|	|5277
~~35237|	|2014-08-04 11:30:19.630|	|2014-08-04 11:30:19.630|	|5277
~~35238|	|2014-08-04 11:30:24.623|	|2014-08-04 11:30:24.623|	|5277
~~35239|	|2014-08-04 13:52:35.000|	|2014-08-04 13:52:35.000|	|5277
~~35240|	|2014-08-04 13:52:39.663|	|2014-08-04 13:52:39.663|	|5277
~~35241|	|2014-08-04 14:50:39.013|	|2014-08-04 14:50:39.013|	|6053
~~35242|	|2014-08-04 14:51:43.630|	|2014-08-06 15:20:15.740|	|7503
~~35243|	|2014-08-04 14:52:03.100|	|2014-08-04 14:52:03.100|	|6053
~~35244|	|2014-08-04 14:52:48.713|	|2014-08-04 14:54:05.957|	|6053
~~35245|	|2014-08-04 14:54:45.863|	|2014-08-04 14:54:45.863|	|6053
~~35246|	|2014-08-04 14:55:36.933|	|2014-08-04 14:55:36.933|	|6053
~~35247|	|2014-08-04 16:07:24.917|	|2014-08-04 16:07:24.917|	|5600
~~35248|	|2014-08-04 16:36:03.627|	|2014-08-04 16:36:38.980|	|6053
~~35249|	|2014-08-04 16:37:33.707|	|2014-08-04 16:37:33.707|	|6053
~~35250|	|2014-08-04 17:00:34.133|	|2014-08-04 17:00:34.133|	|5600
~~35251|	|2014-08-04 17:01:35.647|	|2014-08-04 17:01:35.647|	|5277
~~35252|	|2014-08-04 17:01:40.763|	|2014-08-04 17:01:40.763|	|5277
~~35253|	|2014-08-04 17:01:48.173|	|2014-08-04 17:01:48.173|	|5277
~~35254|	|2014-08-04 17:02:22.930|	|2014-08-04 17:02:22.930|	|5277
~~35255|	|2014-08-04 17:47:10.250|	|2014-08-04 17:47:10.250|	|6053
~~35256|	|2014-08-04 18:01:12.063|	|2014-08-04 18:01:12.063|	|5266
~~35257|	|2014-08-04 18:04:08.313|	|2014-08-04 18:04:08.313|	|5600
~~35258|	|2014-08-04 20:14:56.457|	|2014-08-04 20:14:56.457|	|5266
~~35259|	|2014-08-04 20:15:16.487|	|2014-08-04 20:15:16.487|	|5266
~~35260|	|2014-08-04 23:58:42.233|	|2014-08-04 23:58:42.233|	|5266
~~35261|	|2014-08-04 23:58:49.993|	|2014-08-04 23:58:49.993|	|5266
~~35262|	|2014-08-04 23:59:02.473|	|2014-08-04 23:59:02.473|	|5266
~~35263|	|2014-08-05 00:10:04.243|	|2014-08-05 00:15:58.410|	|5266
~~35264|	|2014-08-05 01:54:08.663|	|2014-08-05 01:54:08.663|	|5266
~~35265|	|2014-08-05 02:46:57.020|	|2014-08-05 02:46:57.020|	|5578
~~35266|	|2014-08-05 02:49:28.747|	|2014-08-05 02:49:28.747|	|5578
~~35267|	|2014-08-05 02:49:36.937|	|2014-08-05 02:49:36.937|	|5578
~~35268|	|2014-08-05 02:49:43.847|	|2014-08-05 02:49:43.847|	|5578
~~35269|	|2014-08-05 02:49:51.100|	|2014-08-05 02:49:51.100|	|5578
~~35270|	|2014-08-05 03:56:07.580|	|2014-08-05 03:56:07.580|	|5266
~~35271|	|2014-08-05 03:56:17.033|	|2014-08-05 03:56:17.033|	|5266
~~35272|	|2014-08-05 04:59:43.620|	|2014-08-05 04:59:43.620|	|5266
~~35273|	|2014-08-05 05:00:20.453|	|2014-08-05 05:00:20.453|	|5266
~~35336|	|2014-08-05 09:40:01.597|	|2014-08-05 09:40:01.597|	|5770
~~35337|	|2014-08-05 09:40:52.377|	|2014-08-05 09:40:52.377|	|5770
~~35338|	|2014-08-05 10:45:04.420|	|2014-08-05 10:45:04.420|	|5949
~~35339|	|2014-08-05 10:45:54.093|	|2014-08-05 10:45:54.093|	|5949
~~35340|	|2014-08-05 11:19:24.163|	|2014-08-05 11:19:24.163|	|5770
~~35341|	|2014-08-05 11:19:39.170|	|2014-08-05 11:19:39.170|	|5770
~~35342|	|2014-08-05 12:02:30.597|	|2014-08-05 12:02:30.597|	|5949
~~35343|	|2014-08-05 12:18:14.580|	|2014-08-05 12:18:14.580|	|5770
~~35344|	|2014-08-05 14:20:21.837|	|2014-08-05 14:20:21.837|	|5770
~~35345|	|2014-08-05 14:20:42.303|	|2014-08-05 14:20:42.303|	|5770
~~35346|	|2014-08-05 16:27:38.487|	|2014-08-05 16:27:38.487|	|5770
~~35347|	|2014-08-05 16:27:50.063|	|2014-08-05 16:27:50.063|	|5770
~~35348|	|2014-08-05 16:33:27.887|	|2014-08-05 16:33:27.887|	|5225
~~35349|	|2014-08-05 16:35:58.713|	|2014-08-05 16:35:58.713|	|5225
~~35350|	|2014-08-05 16:36:08.727|	|2014-08-05 16:36:08.727|	|5225
~~35351|	|2014-08-05 16:36:15.437|	|2014-08-05 16:36:15.437|	|5225
~~35352|	|2014-08-05 16:36:23.267|	|2014-08-05 16:36:23.267|	|5225
~~35353|	|2014-08-05 16:36:36.933|	|2014-08-05 16:36:36.933|	|5225
~~35354|	|2014-08-05 16:36:47.510|	|2014-08-05 16:36:47.510|	|5225
~~35355|	|2014-08-05 16:37:04.170|	|2014-08-05 16:37:04.170|	|5225
~~35356|	|2014-08-05 16:37:13.453|	|2014-08-05 16:37:13.453|	|5225
~~35357|	|2014-08-05 16:37:28.847|	|2014-08-05 16:37:28.847|	|5225
~~35358|	|2014-08-05 16:37:37.193|	|2014-08-05 16:37:37.193|	|5225
~~35359|	|2014-08-05 17:01:03.150|	|2014-08-05 17:02:09.213|	|5225
~~35360|	|2014-08-05 18:05:15.060|	|2014-08-05 18:05:15.060|	|5770
~~35361|	|2014-08-05 18:09:54.040|	|2014-08-05 18:09:54.040|	|5277
~~35362|	|2014-08-05 20:20:18.000|	|2014-08-05 20:20:18.000|	|6051
~~35363|	|2014-08-05 20:20:49.323|	|2014-08-05 20:20:49.323|	|6051
~~35364|	|2014-08-05 20:35:14.323|	|2014-08-05 20:35:14.323|	|5277
~~35365|	|2014-08-05 20:35:20.097|	|2014-08-05 20:35:20.097|	|5277
~~35366|	|2014-08-05 22:42:04.263|	|2014-08-05 22:42:04.263|	|6051
~~35367|	|2014-08-05 23:18:18.220|	|2014-08-05 23:18:18.220|	|5600
~~35368|	|2014-08-06 00:02:45.357|	|2014-08-06 00:02:45.357|	|6051
~~35369|	|2014-08-06 00:03:00.717|	|2014-08-06 00:03:00.717|	|6051
~~35370|	|2014-08-06 00:09:29.550|	|2014-08-06 00:09:29.550|	|5600
~~35371|	|2014-08-06 01:07:19.733|	|2014-08-06 01:07:19.733|	|5600
~~35372|	|2014-08-06 01:49:06.720|	|2014-08-06 01:49:06.720|	|5277
~~35373|	|2014-08-06 01:49:13.100|	|2014-08-06 01:49:13.100|	|5277
